,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
24046,mx,leona vicario,20.966667,-87.19166700000001,298.15,73.0,20.0,7.2
39040,ru,yablochnyy,47.166111,142.066111,277.15,48.0,0.0,2.0
24885,mx,xochistlahuaca,16.783333,-98.25,288.63,85.0,8.0,1.07
25309,ng,lafiagi,8.866667,5.4166669999999995,301.044,77.0,24.0,3.46
38204,ru,slavyanka,42.863333000000004,131.384722,278.155,79.0,0.0,2.42
7898,cz,chrastava,50.816043,14.968178,276.63,95.0,48.0,6.57
44755,us,hempstead,40.7061111,-73.61916670000001,281.38,76.0,90.0,1.32
26176,np,nepalganj,28.05,81.6166667,307.58,24.0,0.0,2.97
16166,hu,zomba,46.410838,18.565767,282.15,70.0,90.0,2.1
5471,ch,romanshorn,47.565858,9.378694,278.88,81.0,90.0,3.1
19727,in,vapi,20.366667,72.9,310.405,28.0,0.0,4.37
18994,in,periyakulam,10.116667,77.55,310.15,37.0,20.0,1.5
43645,us,natchitoches,31.760555600000004,-93.0861111,289.79,100.0,90.0,4.1
11445,fr,bressuire,46.839886,-0.48963900000000005,279.15,93.0,75.0,3.6
4906,ca,richmond,45.183333000000005,-75.833333,275.68,79.0,75.0,1.5
30332,ph,tagburos,9.8279,118.743,306.15,49.0,75.0,5.1
10696,es,azuaga,38.266667,-5.683333,281.144,89.0,12.0,2.46
1348,bd,tungi,23.89,90.4058333,307.15,56.0,40.0,4.1
8190,cz,paskov,49.733452,18.290601000000002,279.95,76.0,90.0,4.6
17199,in,beniganj,27.283333000000002,80.45,308.405,25.0,0.0,6.72
4623,ca,gambo,48.783333,-54.216667,272.15,100.0,90.0,2.1
44751,us,harrison,40.968888899999996,-73.7130556,281.29,76.0,90.0,1.21
13642,gr,kallifitos,41.1666667,24.216666699999998,281.15,70.0,0.0,2.6
6111,cn,kashi,39.454722,75.979722,289.15,23.0,75.0,13.0
38513,ru,tayshet,55.9342,98.0044,278.205,59.0,0.0,0.97
30894,pk,moro,26.664586,68.00156,311.15,21.0,0.0,3.1
11527,fr,cluses,46.064816,6.588355,280.64,100.0,75.0,0.97
7289,co,san bernardo,1.521189,-77.03090999999999,283.305,87.0,32.0,0.57
36705,ru,kurmanayevka,52.5093,52.0675,269.48,94.0,0.0,3.42
45036,us,grove city,39.8813889,-83.0930556,283.85,100.0,90.0,2.52
39756,sl,kenema,7.8766667,-11.1875,299.455,82.0,80.0,2.07
42326,us,garden acres,37.96388889999999,-121.22833329999999,286.44,72.0,1.0,1.5
45340,us,yeadon,39.938888899999995,-75.25583329999999,280.88,100.0,90.0,1.22
10833,es,huelva,37.271446999999995,-6.949464,284.944,98.0,0.0,5.36
7074,co,mompos,9.237864,-74.425329,295.98,100.0,20.0,0.97
1644,be,manhay,50.3,5.6666669999999995,276.13,93.0,40.0,5.7
6427,cn,xingyi,25.05,104.983333,292.055,83.0,48.0,1.72
9609,de,schriesheim,49.477778,8.672778,278.78,75.0,90.0,2.6
12323,gb,bletchley,51.983333,-0.733333,275.4,93.0,0.0,3.6
13198,gh,obuasi,6.2,-1.6666667000000002,301.055,93.0,8.0,2.57
18545,in,mandasa,18.866667,84.466667,302.655,83.0,32.0,8.62
27566,ph,bulalacao,16.8358,120.8085,295.055,86.0,64.0,0.27
66,af,zaranj,30.966666999999998,61.88333299999999,307.15,8.0,40.0,5.1
23436,mx,ayapa,18.183332999999998,-93.166667,299.669,62.0,0.0,1.31
21241,jp,chatan,26.309444,127.770278,297.15,64.0,20.0,8.2
1,ad,canillo,42.5666667,1.6,276.205,96.0,24.0,0.87
7452,co,tesalia,2.485866,-75.729209,289.255,93.0,68.0,0.97
22110,km,mutsamudu,-12.1627778,44.3963889,300.505,100.0,76.0,1.77
33843,ro,piatra olt,44.366667,24.266667,279.15,81.0,0.0,3.1
35622,ru,chernyshevsk,52.5243,117.0174,281.205,33.0,24.0,4.07
28539,ph,lanao,11.2603,124.0373,301.705,89.0,20.0,3.82
2892,br,firminopolis,-16.666667,-50.316666999999995,293.744,65.0,48.0,2.81
12782,gb,morley,53.733332999999995,-1.583333,274.74,100.0,0.0,1.0
19416,in,sihora,23.483333,80.116667,309.705,19.0,0.0,4.12
4684,ca,ingersoll,43.033333,-80.883333,275.59,93.0,90.0,1.37
7674,cu,cabaiguan,22.0788889,-79.4991667,292.15,88.0,0.0,2.6
35421,ru,bodaybo,57.850556000000005,114.19333300000001,270.819,58.0,80.0,4.01
25416,ni,rio blanco,12.933333300000001,-85.2166667,294.605,98.0,92.0,1.02
11506,fr,chateau-thierry,49.05,3.4,278.82,86.0,75.0,3.6
19470,in,siwana,25.633333,72.416667,313.955,12.0,0.0,2.32
1755,be,sint-laureins,51.25,3.516667,277.39,86.0,20.0,3.1
38826,ru,varenikovskaya,45.120852,37.641709999999996,280.15,93.0,40.0,9.0
22601,lu,wasserbillig,49.71,6.5002778,276.34,86.0,40.0,4.1
36796,ru,lesnikovo,55.282222,65.3175,272.98,100.0,92.0,6.17
6052,cn,huzhou,30.870301,120.09329699999999,296.755,59.0,88.0,2.27
42794,us,brent,30.468611100000004,-87.23611109999999,292.51,94.0,90.0,4.6
21835,jp,tamamura,36.3,139.116667,295.15,33.0,1.0,3.6
33325,ro,isaccea,45.266667,28.466666999999998,275.15,100.0,75.0,4.1
42293,us,east foothills,37.381111100000005,-121.81638889999999,287.58,55.0,1.0,1.5
1630,be,lochristi,51.1,3.833333,277.75,93.0,75.0,3.1
43313,us,marion,37.7305556,-88.9330556,285.18,100.0,90.0,2.77
8380,cz,verovice,49.538936,18.119879,280.0,76.0,90.0,4.6
35050,ru,abagur,53.6882,87.2263,279.48,66.0,68.0,1.62
43817,us,redland,39.1452778,-77.1444444,281.69,100.0,90.0,2.1
43816,us,randallstown,39.3672222,-76.7955556,281.35,100.0,90.0,1.87
11120,et,abomsa,9.983333,39.983333,305.005,29.0,0.0,2.32
36992,ru,meget,52.415,104.049444,282.15,36.0,0.0,3.0
20210,it,canosa di puglia,41.216667,16.066667000000002,286.45,58.0,0.0,2.6
28928,ph,malibong,15.8444,120.3199,300.855,73.0,88.0,3.67
21109,it,venaria reale,45.133333,7.633333,281.84,87.0,75.0,0.5
3580,br,parelhas,-6.683333,-36.65,294.069,97.0,92.0,1.76
