,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
2309,br,alto parana,-23.083333,-52.366667,296.118,89.0,44.0,1.7
7284,co,san andres,6.811478,-72.849292,294.15,88.0,75.0,0.55
11591,fr,etampes,48.433046000000004,2.175806,278.32,93.0,0.0,2.6
31233,pl,nowa ruda,50.579021999999995,16.502913,276.15,69.0,0.0,4.1
13757,gr,kilkis,40.991944399999994,22.8708333,279.15,75.0,0.0,1.5
28467,ph,kinamayan,7.499444,125.67361100000001,301.15,74.0,20.0,3.1
19217,in,ringas,27.35,75.56666700000001,295.15,40.0,20.0,2.35
12570,gb,gorebridge,55.833332999999996,-3.05,275.6,86.0,90.0,4.1
45586,us,angleton,29.1691667,-95.43166670000001,295.03,83.0,1.0,3.1
30611,ph,union,10.0475,124.5151,303.15,62.0,20.0,2.1
39039,ru,vzmorye,47.849444,142.520556,272.868,88.0,0.0,3.25
10977,es,pozoblanco,38.379061,-4.848268,281.15,93.0,0.0,2.6
37261,ru,nizhnyaya tura,58.6293,59.8118,261.768,81.0,12.0,2.95
20479,it,grammichele,37.216667,14.633332999999999,286.09,93.0,0.0,1.15
29206,ph,nalus,6.012222,124.585278,300.718,75.0,0.0,1.35
40452,tn,qurunbaliyah,36.598940999999996,10.500316,286.67,87.0,20.0,3.55
15168,hn,san nicolas,14.933333300000001,-88.3166667,300.868,53.0,76.0,0.3
18229,in,kharagpur,25.116667,86.55,289.493,83.0,0.0,2.1
7922,cz,dolni kounice,49.07548,16.458775,277.13,94.0,0.0,2.1
20265,it,castellana grotte,40.883333,17.166667,282.77,100.0,75.0,2.6
172,am,arevik,40.10055560000001,44.0969444,287.15,82.0,40.0,4.1
33540,ro,medgidia,44.25,28.283333000000002,277.15,86.0,68.0,2.6
34937,rs,mokrin,45.935833,20.407222,281.15,93.0,0.0,2.1
44741,us,freeport,40.6575,-73.58361109999998,282.06,100.0,90.0,4.1
8472,de,aschaffenburg,49.973889,9.149167,274.66,84.0,0.0,1.0
36734,ru,kuzmolovskiy,60.109207999999995,30.490915,264.15,92.0,0.0,3.1
26716,pe,nunoa,-14.48,-70.64111109999999,274.193,94.0,12.0,1.3
15956,hu,sajoszentpeter,48.216667,20.716667,278.15,93.0,90.0,1.5
46303,ve,cabudare,10.028888900000002,-69.0894444,296.218,75.0,64.0,2.05
22002,ke,kisumu,-0.1,34.75,287.843,88.0,36.0,1.2
12618,gb,hoddesdon,51.75,0.0,277.74,100.0,75.0,4.1
29998,ph,san roque,10.091903,124.322621,303.15,62.0,20.0,2.1
4606,ca,fairview,56.066667,-118.4,263.15,47.0,90.0,4.1
2624,br,campos do jordao,-22.7264,-45.5792,296.15,60.0,0.0,3.6
18124,in,kannod,22.666667,76.733333,289.768,53.0,0.0,1.35
44013,us,woburn,42.4791667,-71.1527778,281.34,100.0,90.0,2.6
14768,hn,armenia,15.4666667,-86.3666667,301.15,78.0,20.0,0.4
7404,co,somondoco,4.985437,-73.432703,291.443,94.0,36.0,0.5
40553,tr,demirci,39.046071999999995,28.658890000000003,270.643,99.0,8.0,1.2
37008,ru,meshchovsk,54.32444399999999,35.280833,255.443,53.0,0.0,2.5
16607,ie,cahir,52.3769444,-7.9216667,275.15,93.0,40.0,3.1
42412,us,manteca,37.7975,-121.215,299.46,28.0,1.0,2.6
45337,us,williamsport,41.241111100000005,-77.00138890000001,283.05,87.0,90.0,1.5
34930,rs,mali zvornik,44.395278000000005,19.115833,279.968,63.0,0.0,1.8
24475,mx,san roque,20.966667,-101.85,298.15,20.0,20.0,2.1
31829,pt,teloes,41.310544,-8.111006,282.15,70.0,40.0,3.6
32119,ro,andreiasu de jos,45.75,26.833333000000003,273.893,91.0,76.0,2.25
17989,in,jasidih,24.516667,86.65,288.368,87.0,0.0,1.15
38064,ru,severodvinsk,64.5635,39.8302,269.15,100.0,75.0,6.0
38477,ru,talovaya,51.114444,40.73,262.718,82.0,0.0,3.65
11006,es,salt,41.973982,2.791613,280.15,100.0,40.0,1.0
10103,dk,ribe,55.329462,8.781352,269.65,92.0,88.0,1.5
31728,pt,ponta delgada,37.733333,-25.666667,287.15,71.0,20.0,4.6
23706,mx,cuautlapan,18.866667,-97.033333,292.718,70.0,20.0,1.2
38647,ru,turgenevo,54.845544999999994,46.329676,255.768,62.0,0.0,1.4
11283,fi,pori,61.483332999999995,21.783333,266.15,92.0,90.0,0.5
40257,th,phra pradaeng,13.658545000000002,100.533618,300.64,83.0,20.0,3.1
38709,ru,ulluaya,42.373774,47.374507,280.15,75.0,40.0,14.0
32747,ro,cordareni,47.983333,26.583333000000003,278.15,86.0,75.0,3.1
4746,ca,liverpool,44.033333,-64.716667,278.793,81.0,12.0,3.55
4617,ca,fort frances,48.616667,-93.416667,270.15,49.0,75.0,7.2
17263,in,bhojudih,23.633333,86.45,289.893,87.0,0.0,1.25
21873,jp,tondabayashi,34.5,135.6,286.66,68.0,0.0,5.1
15925,hu,pomaz,47.642272,19.027839,280.15,100.0,90.0,2.1
17200,in,beohari,24.05,81.383333,287.893,53.0,0.0,1.2
14682,gt,santo domingo suchitepequez,14.466667000000001,-91.483333,300.15,74.0,75.0,3.1
10014,dk,hjortshoj,56.24811,10.265325,271.15,79.0,92.0,0.5
24446,mx,san juan tilapa,19.219444,-99.662222,296.65,32.0,40.0,5.7
18460,in,madras,13.083333,80.283333,301.15,88.0,20.0,3.1
3359,br,massaranduba,-7.183333,-35.766667,295.243,99.0,92.0,2.35
39895,sv,anamoros,13.740555599999999,-87.87361109999999,301.343,35.0,0.0,1.25
17066,in,balarampur,23.116667,86.216667,289.893,87.0,0.0,1.25
21334,jp,hino,35.673056,139.40027800000001,286.55,24.0,1.0,8.2
42168,us,mountain home,36.3352778,-92.385,281.13,93.0,90.0,2.1
38797,ru,utevka,52.9035,50.9495,256.893,57.0,0.0,1.7
11037,es,sestao,43.310134000000005,-3.002997,283.11,71.0,12.0,5.7
46823,zw,mutare,-18.966666699999998,32.6666667,292.093,96.0,92.0,1.15
31277,pl,pisz,53.627444,21.812528,274.643,94.0,36.0,5.0
2358,br,aracoiaba,-7.8,-35.05,298.15,83.0,75.0,2.1
41761,ua,stetseva,48.527669,25.575722,274.293,91.0,92.0,1.25
30336,ph,tagnanan,7.2648,125.8584,301.15,74.0,20.0,3.1
39913,sv,colon,13.55,-88.5666667,299.07,69.0,0.0,1.5
5419,ch,mendrisio,45.86741,8.982097,282.98,100.0,90.0,1.5
45521,us,bristol,36.595,-82.18888890000001,290.93,43.0,90.0,4.6
16312,id,kamal,-7.167778,112.719167,298.368,100.0,0.0,1.9
45025,us,finneytown,39.2002778,-84.5205556,280.97,93.0,90.0,2.6
16618,ie,castlerea,53.7666667,-8.5,275.993,96.0,32.0,5.15
28862,ph,mahaba,13.2676,123.5514,297.443,100.0,64.0,1.65
37358,ru,novosmolinskiy,56.284096,43.050713,264.15,56.0,0.0,1.0
10433,ee,juuru,59.064722200000006,24.950277800000002,266.15,100.0,0.0,1.5
27308,ph,bantuanon,8.015278,125.07083300000001,295.618,75.0,8.0,1.45
12898,gb,royton,53.566667,-2.1166669999999996,276.81,93.0,90.0,1.5
15943,hu,recsk,47.933333000000005,20.116667,278.268,97.0,92.0,0.75
35113,ru,aleksandrovskaya,59.730833,30.332221999999998,264.15,92.0,0.0,3.1
2233,bo,santa rita,-17.966666699999998,-63.35,299.15,69.0,76.0,1.5
18220,in,khammam,17.25,80.15,297.143,96.0,24.0,2.35
17557,in,dhanwar,24.416667,85.983333,288.943,70.0,0.0,1.25
46718,za,vredendal,-31.668328999999996,18.501192,288.618,100.0,92.0,1.6
36223,ru,katunki,56.83130500000001,43.219679,259.118,55.0,0.0,4.55
15131,hn,san francisco,15.65,-87.05,302.25,78.0,20.0,1.0
18226,in,khanpur,28.533333000000002,78.05,290.493,73.0,0.0,2.1
44166,us,hibbing,47.4272222,-92.9375,271.15,46.0,1.0,3.6
25460,nl,barendrecht,51.853922,4.538639,279.54,81.0,90.0,5.1
37011,ru,metallostroy,59.800833,30.547778000000005,264.15,92.0,0.0,3.1
4106,br,tapiramuta,-11.85,-40.783333,294.843,88.0,80.0,3.9
13443,gr,asprovalta,40.716666700000005,23.7,279.15,75.0,0.0,1.5
22451,lt,venta,56.2,22.7,270.15,100.0,90.0,5.1
29408,ph,panique,12.479722,122.01527800000001,300.15,78.0,20.0,2.1
43551,us,lansing,39.248611100000005,-94.9,278.29,93.0,20.0,1.5
26290,nz,tairua,-37.016667,175.85,293.118,88.0,76.0,1.45
34744,ro,vladimir,44.833333,23.566667000000002,279.15,75.0,0.0,3.6
10114,dk,roskilde,55.640094,12.08054,272.22,79.0,88.0,3.6
38354,ru,starosubkhangulovo,53.1031,57.4423,255.743,69.0,20.0,1.25
1297,bd,kalia,23.05,89.6333333,294.018,91.0,0.0,1.25
41947,ug,busia,0.4544444,34.0758333,289.368,94.0,24.0,1.1
1793,be,verlaine,50.6,5.316667,279.52,65.0,0.0,4.1
30211,ph,sinacaban,8.2864,123.8399,298.768,87.0,36.0,1.05
1062,ba,bosanski novi,45.0458333,16.3802778,283.693,69.0,0.0,3.1
29292,ph,opol,8.521389,124.57111100000002,296.193,95.0,36.0,1.35
2158,bo,camiri,-20.05,-63.5166667,290.968,98.0,64.0,1.15
44692,us,albany,42.6525,-73.7566667,281.57,100.0,90.0,1.5
20005,ir,tuysarkan,34.5481,48.4469,292.15,19.0,40.0,5.1
34854,rs,cantavir,45.920278,19.763056,281.15,93.0,0.0,2.1
32103,ro,almajiu,44.45,23.716667,279.15,75.0,0.0,3.6
41871,ua,vyshneve,48.436607,33.916181,273.15,100.0,90.0,2.0
6821,co,el carmen,6.697358,-73.511165,294.15,88.0,75.0,0.8
40344,tj,asht,40.6666667,70.33333329999999,275.268,90.0,36.0,0.85
18115,in,kankavli,16.266667,73.7,291.218,95.0,20.0,0.95
37402,ru,noyabrsk,63.166667000000004,75.616667,257.493,79.0,88.0,9.25
18999,in,perumpavur,10.133333,76.483333,299.15,88.0,75.0,2.15
46117,us,madison,43.0730556,-89.4011111,278.65,41.0,75.0,4.6
9811,de,wedel,53.583332999999996,9.716667,271.13,100.0,0.0,1.5
